-166.92	53.89	Makushin
-155.36	58.17	Martin
-155.16	58.27	Novarupta
-168.13	53.43	Okmok
-161.89	55.42	Pavlof
-152.74	60.49	Redoubt
-172.51	52.31	Seguam
179.58	51.93	Semisopochnoi
-163.97	54.76	Shishaldin
-152.25	61.30	Spurr
-178.15	51.88	Tanaga
-155.10	58.24	Trident
-156.37	57.75	Ugashik-Peulik
-156.51	57.83	Ukinrek
-159.38	56.17	Veniaminof
-168.69	53.13	Vsevidof
-164.65	54.52	Westdahl
-144.02	62.00	Wrangell
-170.63	52.64	Yunaska
-121.81	48.78	Baker
-121.69	45.37	Hood
-130.55	56.58	Iskut-Unuk
-121.51	40.49	Lassen
-121.76	46.85	Rainier
-122.18	46.20	St.
-130.00	45.95	Axial
-130.30	44.83	Cleft
-129.58	46.52	CoAxial
-86.15	0.79	Gal
-155.87	19.69	Hualalai
-155.29	19.42	Kilauea
-155.27	18.92	Loihi
-140.25	-28.98	Macdonald
-155.61	19.48	Mauna
-126.78	42.67	North
-113.42	-18.53	Southern
-113.35	-18.17	Southern
-113.21	-17.44	Southern
-163.83	23.58	Unnamed
-103.58	10.73	Unnamed
-104.30	9.83	Unnamed
-107.95	-8.27	Unnamed
-90.88	14.50	Acatenango
-91.48	14.82	Almolonga
-84.70	10.46	Arenal
-91.19	14.58	Atitl
-110.82	19.30	B
-104.51	21.12	Ceboruco
-93.23	17.36	El
-103.62	19.51	Colima
-85.62	11.54	Concepci
-87.77	13.23	Conchag
-87.57	12.98	Cosig
-90.88	14.47	Fuego
-89.05	13.67	Ilopango
-83.85	9.98	Iraz
-89.63	13.81	Izalco
-86.16	11.98	Masaya
-101.75	19.85	Michoac
-85.15	10.75	Miravalles
-86.54	12.42	Momotombo
-86.70	12.51	Cerro
-97.27	19.03	Pico
-90.60	14.38	Pacaya
-86.69	12.49	Las
-84.23	10.20	Po
-98.62	19.02	Popocat
-85.32	10.83	Rinc
-87.00	12.70	SanCrist
-88.27	13.43	SanMar
-89.29	13.73	SanSalvador
-89.63	13.85	SantaAna
-91.55	14.76	SantaMaria
-110.95	18.78	Socorro
-92.11	15.13	Tacan
-86.85	12.60	Telica
-83.77	10.02	Turrialba
-91.12	-0.43	Alcedo
-78.14	-0.48	Antisana
-71.35	-37.41	Antuco
-73.48	-47.20	Arenales
-91.41	-0.92	CerroAzulEcuador
-70.76	-35.65	CerroAzulChile
-73.40	-52.33	Monte
-72.61	-41.33	Calbuco
-71.45	-37.92	Callaqui
-72.07	-40.35	Carr
-71.38	-36.86	Nevados
-71.17	-37.85	Copahu
-72.12	-40.59	Puyehue-Cordon
-78.44	-0.68	Cotopaxi
-77.87	0.95	Cumbal
-91.28	-0.18	Darwin
-70.75	-35.58	Descabezado
-76.92	1.47	Downtilde
-91.55	-0.37	Fernandina
